Testing Epoch: 48, Rp: 0.8044139184442356, R2: 0.010447247524902448, MAE: 4.113163470207774, RMSE: 6.6231012643017975
Testing Epoch: 49, Rp: 0.8049222369613773, R2: 0.02078781212667602, MAE: 4.089726511824915, RMSE: 6.5884055575723846
Testing Epoch: 50, Rp: 0.8054577730379942, R2: 0.03098885781614158, MAE: 4.066676394844818, RMSE: 6.55399800888387
Testing Epoch: 51, Rp: 0.8059646215433389, R2: 0.040834174935972856, MAE: 4.044479929543399, RMSE: 6.520618141935226
Testing Epoch: 52, Rp: 0.8064998982697287, R2: 0.05070848869242195, MAE: 4.022202802124321, RMSE: 6.486967444471345
Testing Epoch: 53, Rp: 0.8070317207172732, R2: 0.060442617264626075, MAE: 3.999678928714668, RMSE: 6.453622742984441
Testing Epoch: 54, Rp: 0.8075787680830484, R2: 0.0702702049655709, MAE: 3.9767556581650494, RMSE: 6.4197821988947945
Testing Epoch: 55, Rp: 0.8081203732901255, R2: 0.07984978414589006, MAE: 3.9547222432569686, RMSE: 6.386623076382125
Testing Epoch: 56, Rp: 0.8086685415423702, R2: 0.0892337851333892, MAE: 3.9336376880880835, RMSE: 6.353973155614507
Testing Epoch: 57, Rp: 0.8092287839189156, R2: 0.09863376933443668, MAE: 3.912561581758873, RMSE: 6.3210985510091575
Testing Epoch: 58, Rp: 0.8097922335485742, R2: 0.10785861396268648, MAE: 3.8912831458118307, RMSE: 6.288669383088058
Testing Epoch: 59, Rp: 0.8103558709181578, R2: 0.11713736961210208, MAE: 3.8697142104244335, RMSE: 6.255881115309364
Testing Epoch: 60, Rp: 0.8109195146897547, R2: 0.12615823681445038, MAE: 3.849186118042184, RMSE: 6.223838548448934
Testing Epoch: 61, Rp: 0.811478995148223, R2: 0.1349954564252407, MAE: 3.829073744771545, RMSE: 6.192287530691691
Testing Epoch: 62, Rp: 0.8120388698407255, R2: 0.14376784322304292, MAE: 3.8090215179764946, RMSE: 6.160808177100565
Testing Epoch: 63, Rp: 0.8126157206365071, R2: 0.15248370501231823, MAE: 3.7885961064547784, RMSE: 6.129371550230543
Testing Epoch: 64, Rp: 0.8131879124453874, R2: 0.16117865678280052, MAE: 3.768081225166719, RMSE: 6.097848859885361
